,ID,Box,reculture_date,# plates on 27 May 2025,Notes from 27 May 2025 inventory,Molecular ID,Ectomycorrhizal
1,Amamu,11,NA,2,NA,Amanita muscaria,Y
2,Amamu 3,11,NA,2,NA,Amanita muscaria,Y
3,Bubs,21,NA,1,"""IS01""; ""verticillium dry bubble""",NA,N
4,CC02,20,NA,1,NA,Lactarius rubidus,Y
5,Cenge V1,11,NA,2,NA,Cenococcum geophilum,Y
6,Cenge V2,11,NA,2,NA,Cenococcum geophilum,Y
7,Grimmy,20,NA,1,NA,Cortinarius violaceus,Y
8,Halo V2,21,NA,1,NA,Peziza varia,Y
9,HR22,21,NA,1,NA,Sarea resinae,N
10,HR24,21,NA,1,NA,Sydowia polyspora,N
11,HR31,21,NA,1,NA,Umbelopsis isabellina,N
12,HR31,11,NA,2,NA,Umbelopsis isabellina,N
13,Hyabi,20,NA,2,NA,Hyaloscypha bicolor,Y
14,LA02,11,NA,2,NA,Lactarius aff. alnicola,Y
15,LA04,20,NA,1,"""LA04-3""",Lactarius aff. alnicola,Y
16,LA09,20,NA,1,NA,NA,M
17,Lacb V1,11,NA,2,NA,NA,Y
18,Lacb V2,11,NA,2,NA,NA,Y
19,LR01,20,NA,2,NA,Lactarius deliciosus,Y
20,LR03,20,NA,3,"one plate ""LR03"", one ""LR03-1"", one ""LR03-2""",Lactarius rubrilacteus,Y
21,LR06,20,NA,2,NA,Lactarius rubrilacteus,Y
22,LU04,21,NA,2,NA,Tyrannosorus pini-sylvestris,N
23,MR01,21,NA,3,super fluffy,NA,M
24,Paxin,11,NA,2,NA,Paxillus involutus,Y
25,RS05,20,NA,1,barely grown,NA,M
26,RZ04,11,NA,2,NA,Rhizopogon evadens,Y
27,RZ13,11,NA,2,NA,Rhizopogon evadens,Y
28,RZ18,20,NA,2,NA,Rhizopogon evadens,Y
29,SL04,11,NA,2,NA,Suillus lakei,Y
30,SP07,11,NA,2,NA,Suillus pungens,Y
31,SP08,11,NA,2,NA,Suillus pungens,Y
32,SP10,11,NA,2,possibly incorrect ID - dark endophyte,NA,M
33,Sphabr,11,NA,2,NA,Sphaerosporella brunnea,Y
34,ST01,20,NA,2,NA,Suillus tomentosus,Y
35,Suilla,11,NA,2,only one plate useable,Suillus lakei,Y
36,Ursula,20,NA,1,NA,Cortinarius violaceus,Y
