"","ID","Box","reculture_date","useable_27May2025","notes_27May2025","storage_type","Molecular ID"
"1","AGRIOS","5","241205","yes",NA,"cabinet","""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out."""
"2","AGRIOS","7","250109","yes",NA,"incubator","""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out."""
"3","AM02","17",NA,"yes",NA,"cabinet",NA
"4","AM02","7","250109","yes",NA,"incubator",NA
"5","AM05","7","250109","yes",NA,"incubator","Graduate?"
"6","AM05","17",NA,"yes",NA,"cabinet","Graduate?"
"7","AMAMU","12","241121","yes",NA,"incubator","Amanita muscaria"
"8","AMAMU","1","241121","yes",NA,"cabinet","Amanita muscaria"
"9","AMAMU 3","1","241121","yes",NA,"cabinet","Amanita muscaria"
"10","AMAMU 3","12","241121","yes",NA,"incubator","Amanita muscaria"
"11","AMAMU3",NA,NA,"yes","none","mysterybox",NA
"12","AP02","19","250109","yes","""fine I guess, don't know what that is""","incubator",NA
"13","AP02","intake box","never","missing","none","intake",NA
"14","AP03","intake box","never","missing","none","intake",NA
"15","AP04","intake box","never","missing","none","intake",NA
"16","BUBS","18",NA,"yes","""non ecto"" box","incubator",NA
"17","CC02","10","241204","dead",NA,"incubator","Lactarius rubidus"
"18","CC02","1","241204","yes",NA,"cabinet","Lactarius rubidus"
"19","CENGE V1","2","241204","yes",NA,"cabinet","Cenococcum geophilum"
"20","CENGE V1","10","241204","yes",NA,"incubator","Cenococcum geophilum"
"21","CENGE V2","10","241204","yes",NA,"incubator","Cenococcum geophilum"
"22","CENGE V2","2","241204","yes",NA,"cabinet","Cenococcum geophilum"
"23","COCO","5","241205","yes",NA,"cabinet","""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out."""
"24","COCO","19","250109","not useable","suffering, might not be viable","incubator","""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out."""
"25","ELLA","5","241205","yes",NA,"cabinet","""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out."""
"26","ELLA","7","250109","not useable",NA,"incubator","""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out."""
"27","ERN","18",NA,"yes","""non ecto"" box","incubator",NA
"28","GRIMMY","13","241212","yes",NA,"cabinet","Cortinarius violaceus"
"29","GRIMMY","8","241212","yes",NA,"incubator","Cortinarius violaceus"
"30","GRIMMY",NA,NA,"yes","none","mysterybox",NA
"31","HALO V2","18",NA,"yes","""non ecto"" box","incubator",NA
"32","HR24","18",NA,"yes","""non ecto"" box","incubator","Sydowia polyspora"
"33","HR24","18",NA,"yes","""non ecto"" box","incubator","Sydowia polyspora"
"34","HR31","18",NA,"yes","""non ecto"" box","incubator","Umbelopsis isabellina"
"35","HYABI","12","241121","yes",NA,"incubator","Hyaloscypha bicolor"
"36","HYABI","2","241121","yes",NA,"cabinet","Hyaloscypha bicolor"
"37","LA02",NA,NA,"yes","none","mysterybox","Lactarius aff. alnicola"
"38","LA02","9","241210","yes",NA,"incubator","Lactarius aff. alnicola"
"39","LA02","6","241210","yes",NA,"cabinet","Lactarius aff. alnicola"
"40","LA04","10","241204","yes",NA,"incubator","Lactarius aff. alnicola"
"41","LA04","3","? found here during 27May2025 inventory","yes","""4-3""","cabinet","Lactarius aff. alnicola"
"42","LA09","1","241204","yes",NA,"cabinet",NA
"43","LA09","10","241204","yes",NA,"incubator",NA
"44","LACB V1","6","241121","yes",NA,"cabinet",NA
"45","LACB V1","12","241121","yes",NA,"incubator",NA
